Date,High,Low,Open,Close,Volume,Adj Close
2010-01-04,964.72998046875,951.719970703125,951.719970703125,963.5599975585938,82515400.0,963.5599975585938
2010-01-05,968.6799926757812,961.4600219726562,964.030029296875,967.27001953125,62738400.0,967.27001953125
2010-01-07,970.260009765625,962.27001953125,967.3900146484375,965.8200073242188,132590900.0,965.8200073242188
2010-01-08,974.9000244140625,965.7000122070312,965.7000122070312,973.4400024414062,108703800.0,973.4400024414062
2010-01-11,985.6900024414062,973.1500244140625,973.1500244140625,978.1799926757812,108829800.0,978.1799926757812
2010-01-12,981.0800170898438,967.489990234375,978.239990234375,969.5499877929688,118598200.0,969.5499877929688
2010-01-13,974.9600219726562,964.3499755859375,969.489990234375,974.9600219726562,126482500.0,974.9600219726562
2010-01-14,984.6500244140625,975.6099853515625,975.6099853515625,981.5,150040800.0,981.5
2010-01-15,986.0,968.5,982.0999755859375,970.6500244140625,113551400.0,970.6500244140625
2010-01-18,975.8300170898438,968.760009765625,970.4099731445312,974.0499877929688,96356200.0,974.0499877929688
2010-01-19,977.8300170898438,960.6500244140625,973.5800170898438,976.0,134704200.0,976.0
2010-01-20,976.7899780273438,957.1599731445312,976.0599975585938,957.530029296875,120996800.0,957.530029296875
2010-01-21,968.0599975585938,951.489990234375,958.1900024414062,954.02001953125,146085500.0,954.02001953125
2010-01-22,957.5700073242188,943.6099853515625,954.3099975585938,951.0599975585938,143515300.0,951.0599975585938
2010-01-25,956.1799926757812,940.2100219726562,948.8099975585938,947.5599975585938,137390200.0,947.5599975585938
2010-01-26,945.8400268554688,935.6599731445312,945.8400268554688,942.9400024414062,131484200.0,942.9400024414062
2010-01-27,954.02001953125,934.6599731445312,943.1799926757812,946.7000122070312,138949500.0,946.7000122070312
2010-01-28,965.0900268554688,935.4600219726562,947.1799926757812,937.219970703125,215494700.0,937.219970703125
2010-01-29,957.0999755859375,937.9299926757812,937.9299926757812,953.7100219726562,156244100.0,953.7100219726562
2010-02-01,967.77001953125,947.4500122070312,952.8200073242188,967.77001953125,124755100.0,967.77001953125
2010-02-02,972.75,963.72998046875,967.530029296875,971.7999877929688,136882300.0,971.7999877929688
2010-02-03,974.9500122070312,966.0800170898438,971.5700073242188,970.0,158234100.0,970.0
2010-02-04,975.25,948.2100219726562,969.5900268554688,948.6199951171875,151365700.0,948.6199951171875
2010-02-05,951.47998046875,934.3800048828125,948.8599853515625,935.8900146484375,218309500.0,935.8900146484375
2010-02-08,940.4299926757812,920.2899780273438,939.9199829101562,938.4199829101562,143810500.0,938.4199829101562
2010-02-09,951.8900146484375,934.8400268554688,939.9600219726562,944.7999877929688,141905600.0,944.7999877929688
2010-02-10,950.5900268554688,931.3900146484375,948.5999755859375,937.0499877929688,163384700.0,937.0499877929688
2010-02-11,949.9000244140625,935.27001953125,944.02001953125,943.6599731445312,138279900.0,943.6599731445312
2010-02-12,951.9600219726562,924.9299926757812,951.2000122070312,931.3499755859375,150890500.0,931.3499755859375
2010-02-15,935.4000244140625,919.3900146484375,932.8599853515625,923.3699951171875,94132800.0,923.3699951171875
2010-02-16,934.3099975585938,922.75,929.9000244140625,934.3099975585938,116194600.0,934.3099975585938
2010-02-17,945.27001953125,938.5599975585938,939.6400146484375,943.6900024414062,110253300.0,943.6900024414062
2010-02-18,947.25,940.8699951171875,944.1900024414062,946.969970703125,121914400.0,946.969970703125
2010-02-19,957.4500122070312,938.6599731445312,940.780029296875,957.27001953125,108511600.0,957.27001953125
2010-02-22,959.1099853515625,951.47998046875,958.969970703125,954.0999755859375,88961800.0,954.0999755859375
2010-02-23,958.5999755859375,941.260009765625,957.47998046875,942.0499877929688,104061600.0,942.0499877929688
2010-02-24,946.030029296875,936.25,943.1500244140625,944.3099975585938,106761800.0,944.3099975585938
2010-02-25,950.719970703125,935.8800048828125,941.5900268554688,940.510009765625,113517800.0,940.510009765625
2010-02-26,948.9199829101562,939.2899780273438,946.1900024414062,947.3900146484375,105641000.0,947.3900146484375
2010-03-01,967.469970703125,953.5399780273438,954.2000122070312,966.3800048828125,102792800.0,966.3800048828125
2010-03-02,972.989990234375,961.5700073242188,965.9299926757812,971.6699829101562,95749000.0,971.6699829101562
2010-03-03,981.5700073242188,970.1500244140625,971.02001953125,981.1900024414062,105220300.0,981.1900024414062
